,description,Address,Price,Bedroom,Bathroom,Toilet,date,State,Location
5694,Spacious 3 Bed Detached Bungalow, Ajah Ajah Lagos ,45000000,3,3,4,2023-05-27,Lagos,Ajah
5695,Spectacular 5 Bedroom Fully Detached Duplex With Bq, Omole Phase 1 Omole Ikeja Lagos ,200000000,5,6,6,2023-05-27,Lagos,Ikeja
5696,Luxurious Smart 5 Bedroom Fully Detached Duplex With Bq, Omole Phase 1 Omole Ikeja Lagos ,300000000,5,6,6,2023-05-27,Lagos,Ikeja
5697,Tastefully Finished 5bedrooms Fully Detached Duplex House With Bq, Osapa Lekki Lagos ,160000000,5,5,6,2023-05-27,Lagos,Lekki
5698,Tastefully Finished 4 Bedroom Semi Detached Duplex, Ikota Villa Ikota Lekki Lagos ,90000000,4,4,5,2023-05-27,Lagos,Lekki
5699,Gorgeous Finished 4 Bed Fully Detached Duplex With Bq, Chevron Chevron Drive Lekki Lagos ,140000000,4,5,5,2023-05-27,Lagos,Lekki
5700,3bedroom Terrace Kuje, Kuje Abuja Phase 4 Abuja ,40000000,3,4,5,2023-05-27,Abuja,4
5701,Unfurnished," Ikota B/stop,opp Mega Chicken, Askamaya Hotel Street. Ikota Lekki Lagos ",60000000,4,0,5,2023-05-27,Lagos,Lekki
5702,Unfurnished," Atlantic View Estate, Alpha Beach Road Igbo Efon Lekki Lagos ",95000000,4,4,5,2023-05-27,Lagos,Lekki
5703,A Modern 3 Bedroom Flat Is Available For Sale," New Ring Road 3, Uyo Akwa Ibom State Uyo Uyo Akwa Ibom ",38000000,3,3,4,2023-05-27,Ibom,Akwa
5704,Clean 4 Bedroom Duplex, Omole Phase 1 Omole Ikeja Lagos ,170000000,4,4,0,2023-05-27,Lagos,Ikeja
5705,5 Bedrooms Fully Detached Detached Duplex With Bq, Ikota Ikota Lekki Lagos ,230000000,5,5,6,2023-05-27,Lagos,Lekki
5706,5 Bedroom Detached Duplex With A Bq," Orchid Road, 2nd Tollgate Lekki Expressway Lekki Lagos ",150000000,5,6,0,2023-05-27,Lagos,Lekki
5707,"Outstanding & Decently Spaced 5 Bedroom Fully Detached Mansion With Swimming Pool, Elevator & Cinema", Ikoyi Ikoyi Ikoyi Lagos ,850000000,5,6,0,2023-05-27,Lagos,Ikoyi
5708,Tastefully Finished 2 Bedroom Flat, Ologolo Lekki Lagos ,55000000,2,2,3,2023-05-27,Lagos,Lekki
5709,Clean 4 Bedroom Terrace For Sale, Orchid Lekki Expressway Lekki Lagos ,50000000,4,5,0,2023-05-27,Lagos,Lekki
5710,"3 Bedroom Fully Detached Duplex With Bq, Cinema & Gym", Lekki Phase 1 Lekki Phase 1 Lekki Lagos ,400000000,5,6,0,2023-05-27,Lagos,Lekki
5711,Luxury 5 Bedroom Fully Detached Duplex With Bq & Swimming Pool, Lekki Phase 1 Lekki Phase 1 Lekki Lagos ,380000000,5,6,0,2023-05-27,Lagos,Lekki
5712,Tastefully 5 Bedroom Duplex With Two Bedroom Bq, Royal Garden Estate Ajah Ajah Lagos ,270000000,5,5,6,2023-05-27,Lagos,Ajah
5713,5 Bedroom Detached Duplex, Osapa London Osapa Lekki Lagos ,140000000,5,5,6,2023-05-27,Lagos,Lekki
5714,Massive 6 Nedroom Detached Duplex With Bq, Megamount Estate By Lekki County Homes Ikota Lekki Lagos ,280000000,6,6,8,2023-05-27,Lagos,Lekki
5715,5 Bedroom Detached Duplex With A Room Bq, Omole Phase 2 Omole Ikeja Lagos ,185000000,5,5,0,2023-05-27,Lagos,Ikeja
5716,"Luxuriously Finished 5 Bedroom Fully Serviced Maisonette With Bq, Swimming Pool, Gym", Banana Island Banana Island Ikoyi Lagos ,680000000,5,5,6,2023-05-27,Lagos,Ikoyi
5717,Tastefully Built 4 Bedroom Semi Detached Duplex For Sale, Ikeja Ikeja Ikeja Lagos ,90000000,4,5,0,2023-05-27,Lagos,Ikeja
5718,Newly Built 5 Bedroom Fully Detached Duplex With Bq And Swimming Pool, Lekki Phase 1 Lekki Phase 1 Lekki Lagos ,300000000,5,5,6,2023-05-27,Lagos,Lekki
5719,Well Built 4bedroom Semi Detached Duplex Wth Bq, Magodo Phase 1 Gra Ikeja Lagos ,90000000,4,4,4,2023-05-27,Lagos,Ikeja
5720,Lovely 5bedroom Semi Detached Duplex, Don’t Miss This 5bedroom Duplex With Swimming Pool And Cinema Osapa Lekki Lagos ,280000000,5,0,0,2023-05-28,Lagos,Lekki
5721,4 Bedroom Semi Detached Duplex, Victoria Island Lagos ,350000000,4,4,4,2023-05-27,Lagos,Island
5722,Tastefully Finished 6bedroom Detached Duplex With A Room Bq, Magodo Phase 2 Ikeja Lagos ,295000000,6,6,6,2023-05-27,Lagos,Ikeja
5723,Luxury 4bedroom Fully Detached Duplex, Ikota Lekki Lagos ,140000000,4,4,4,2023-05-27,Lagos,Lekki
5724,Brand New Two Wings Of 5 Bedroom Fully Detached Duplex With Bq, Mayfair Garden Ajah Lagos ,120000000,5,5,5,2023-05-27,Lagos,Ajah
5725,Newly Built 5 Bedroom Detached Duplex With Swimming Pool, Ikota Lekki Lagos ,205000000,5,0,0,2023-05-27,Lagos,Lekki
5726,Newly Built Units Of 4bedroom Terrace Duplex," Anthony, Maryland Ikeja Lagos ",110000000,4,4,4,2023-05-27,Lagos,Ikeja
5727,Finished 4 Bedroom Semi Detached Home, Ikate Elegushi Lekki Lagos ,160000000,4,4,4,2023-05-27,Lagos,Lekki
5728,4 Bedroom Semi Detached Duplex," Magodo Ph1 Isheri,adebiyi Stree Magodo Isheri Ikeja Lagos ",70000000,4,4,4,2015-05-16,Lagos,Ikeja
5729,Well Built 5 Bedroom Detached House With Bq, Off Ikorodu Road Maryland Ikeja Lagos ,220000000,5,6,0,2023-05-27,Lagos,Ikeja
5730,Greenoak Gardens Phase 2, Epe Ajah Lagos ,2500000,0,0,0,2023-05-29,Lagos,Ajah
5731,A Befitting 4 Bedrooms Bungalow Built With Modern Facilities, Egbeda Agege Lagos ,40000000,4,4,4,2023-05-27,Lagos,Agege
5732,Brand New Well Finished 4 Bedroom Fully Detached Duplex With Bq, Maitama Abuja Phase 1 Abuja ,650000000,4,4,4,2023-05-27,Abuja,1
5733,Solid 5 Bedroom Full Detached Duplex, Ikoyi Lagos ,1275000000,5,5,5,2023-05-27,Lagos,Ikoyi
5734,Newly Built And Exquisite Four Bedrooms Duplex With Bq, New Oko Oba Ipaja Agege Lagos ,130000000,4,4,4,2023-05-27,Lagos,Agege
